examType,subject,topic,subtopic,difficulty,questionText,optionA,optionB,optionC,optionD,correctAnswer,solution,tags
IAS-GS,Indian and World Geography,World Geography,,Medium,The Strait of Malacca connects:,Mediterranean Sea and Atlantic Ocean,Indian Ocean and Pacific Ocean,Red Sea and Arabian Sea,Black Sea and Mediterranean Sea,B,"The Strait of Malacca, between the Malay Peninsula and Sumatra, connects the Indian Ocean to the Pacific Ocean. It is one of the world's most important shipping lanes.","IAS-GS,Indian and World Geography,World Geography"
IAS-GS,Indian and World Geography,World Geography,,Easy,Which continent has the most countries?,Asia,Europe,Africa,South America,C,"Africa has 54 recognized sovereign countries, the most of any continent. Asia has 48, Europe has 44.","IAS-GS,Indian and World Geography,World Geography"
IAS-GS,Current Events,International Affairs,,Easy,The United Nations was established in:,1944,1945,1946,1950,B,"The United Nations was established on October 24, 1945, after World War II. It replaced the League of Nations and currently has 193 member states.","IAS-GS,Current Events,International Affairs"
IAS-GS,Current Events,International Affairs,,Easy,The Paris Agreement on climate change was adopted in:,2012,2015,2018,2020,B,"The Paris Agreement was adopted on December 12, 2015, at COP21. It aims to limit global warming to well below 2°C, preferably 1.5°C, above pre-industrial levels.","IAS-GS,Current Events,International Affairs"
IAS-GS,Current Events,International Affairs,,Easy,BRICS originally consisted of which countries?,"Brazil, Russia, India, China","Brazil, Russia, India, China, South Africa","Britain, Russia, India, China, Spain","Brazil, Romania, India, Canada, Sweden",A,"BRIC was coined in 2001 for Brazil, Russia, India, China. South Africa joined in 2010, making it BRICS. The group expanded further in 2024.","IAS-GS,Current Events,International Affairs"
IAS-GS,Current Events,International Affairs,,Easy,The International Court of Justice is located in:,New York,Geneva,The Hague,Vienna,C,"The ICJ (principal judicial organ of the UN) is located at the Peace Palace in The Hague, Netherlands. It settles disputes between states.","IAS-GS,Current Events,International Affairs"
IAS-GS,Current Events,International Affairs,,Easy,The World Trade Organization was established in:,1990,1995,2000,1985,B,"The WTO was established on January 1, 1995, replacing GATT (General Agreement on Tariffs and Trade). It regulates international trade between nations.","IAS-GS,Current Events,International Affairs"
IAS-GS,Environmental Ecology,Climate Change,,Easy,The ozone layer is primarily found in which layer of the atmosphere?,Troposphere,Stratosphere,Mesosphere,Thermosphere,B,"The ozone layer is located in the stratosphere, approximately 15-35 km above Earth's surface. It absorbs most of the Sun's harmful ultraviolet radiation.","IAS-GS,Environmental Ecology,Climate Change"
IAS-GS,Environmental Ecology,Climate Change,,Easy,COP stands for:,Conference of Parties,Committee of Pollution,Council of Protection,Convention of Protocols,A,COP (Conference of the Parties) is the supreme decision-making body of the UNFCCC. COP meetings are held annually to assess progress on climate change.,"IAS-GS,Environmental Ecology,Climate Change"
IAS-GS,Environmental Ecology,Climate Change,,Easy,The Montreal Protocol deals with:,Greenhouse gas emissions,Ozone-depleting substances,Biodiversity,Marine pollution,B,The Montreal Protocol (1987) is an international treaty to protect the ozone layer by phasing out ozone-depleting substances like CFCs. It is considered the most successful environmental treaty.,"IAS-GS,Environmental Ecology,Climate Change"
IAS-GS,Environmental Ecology,Climate Change,,Easy,Which of the following is a greenhouse gas?,Nitrogen,Oxygen,Methane,Argon,C,"Methane (CH4) is a potent greenhouse gas, about 80 times more effective at trapping heat than CO2 over 20 years. Sources include livestock, rice paddies, and fossil fuels.","IAS-GS,Environmental Ecology,Climate Change"
IAS-GS,Environmental Ecology,Climate Change,,Medium,The Intergovernmental Panel on Climate Change (IPCC) was established in:,1985,1988,1992,1997,B,The IPCC was established in 1988 by the WMO and UNEP to provide scientific assessments on climate change. It shared the Nobel Peace Prize in 2007.,"IAS-GS,Environmental Ecology,Climate Change"
